transaction_year,transaction_month,payment_channel,country,"Total Transaction"
2023,1,"Bank Transfer",Japan,1
2023,1,"Bank Transfer",Philippines,12
2023,1,"Bank Transfer",Singapore,5
2023,1,"Bank Transfer","United States",5
2023,1,Card,Japan,10
2023,1,Card,Philippines,17
2023,1,Card,Singapore,8
2023,1,Card,"United States",22
2023,1,Card,Unknown,2
2023,1,Cash,Japan,3
2023,1,Cash,Philippines,7
2023,1,Cash,Singapore,5
2023,1,Cash,"United States",5
2023,1,Cash,Unknown,2
2023,1,E-Wallet,Japan,7
2023,1,E-Wallet,Philippines,16
2023,1,E-Wallet,Singapore,6
2023,1,E-Wallet,"United States",11
2023,1,E-Wallet,Unknown,6
2023,1,Unknown,Japan,3
2023,1,Unknown,Philippines,6
2023,1,Unknown,Singapore,1
2023,1,Unknown,"United States",1
2023,1,Unknown,Unknown,2
2023,2,"Bank Transfer",Philippines,5
2023,2,"Bank Transfer",Singapore,2
2023,2,"Bank Transfer","United States",2
2023,2,"Bank Transfer",Unknown,2
2023,2,Card,Japan,12
2023,2,Card,Philippines,20
2023,2,Card,Singapore,3
2023,2,Card,"United States",9
2023,2,Card,Unknown,2
2023,2,Cash,Japan,3
2023,2,Cash,Philippines,7
2023,2,Cash,Singapore,3
2023,2,Cash,"United States",4
2023,2,Cash,Unknown,1
2023,2,E-Wallet,Japan,4
2023,2,E-Wallet,Philippines,14
2023,2,E-Wallet,Singapore,5
2023,2,E-Wallet,"United States",12
2023,2,E-Wallet,Unknown,1
2023,2,Unknown,Japan,1
2023,2,Unknown,Philippines,5
2023,2,Unknown,Singapore,3
2023,2,Unknown,"United States",1
2023,3,"Bank Transfer",Philippines,6
2023,3,"Bank Transfer",Singapore,3
2023,3,"Bank Transfer","United States",1
2023,3,"Bank Transfer",Unknown,4
2023,3,Card,Japan,7
2023,3,Card,Philippines,19
2023,3,Card,Singapore,10
2023,3,Card,"United States",12
2023,3,Card,Unknown,5
2023,3,Cash,Japan,6
2023,3,Cash,Philippines,12
2023,3,Cash,Singapore,5
2023,3,Cash,"United States",5
2023,3,Cash,Unknown,3
2023,3,E-Wallet,Japan,7
2023,3,E-Wallet,Philippines,13
